RegionID,SizeRank,RegionName,RegionType,StateName,1/31/00,2/29/00,3/31/00,4/30/00
102001,0,United States,country,,122723.31472160046,122939.22437445784,123206.98413454268,123781.27626176394
394913,1,"New York, NY",msa,NY,217784.55462409087,218710.01610295585,219644.04902287154,221536.76114454726
753899,2,"Los Angeles, CA",msa,CA,224762.44366032918,225598.8451268273,226712.9239034118,228929.56642283362
394463,3,"Chicago, IL",msa,IL,153387.53533199197,153529.52750638657,153799.9541035505,154472.7082720459
394514,4,"Dallas, TX",msa,TX,129543.86579917908,129601.56508952344,129667.89633054925,129840.15159611356
394692,5,"Houston, TX",msa,TX,125154.29743963915,125177.60984239077,125090.22628571227,125142.45900176167
395209,6,"Washington, DC",msa,VA,182830.05520498837,182978.71020763557,183252.69121620813,183873.06297197766
394974,7,"Philadelphia, PA",msa,PA,122874.87828757601,123147.98314312726,123334.36633533945,123794.28603087075
394856,8,"Miami, FL",msa,FL,114903.33361316302,115218.76733290937,115552.79543206532,116227.60493254011
394347,9,"Atlanta, GA",msa,GA,149518.6692274152,149863.2841297903,150269.3042781717,151132.8643048215